title,location,price,bedrooms,bathrooms,agency,link,desc
5 Bed Townhouse with En Suite at Thigiri Farm,"36, Thigiri farm, Thigiri, Westlands","520,000",5,5,jaros-homes,https://www.buyrentkenya.com/listings/5-bedroom-townhouse-for-rent-thigiri-3830256,5 Bed Townhouse with En Suite at Thigiri Farm
3 Bed House with En Suite in Runda,"Runda, Westlands","220,000",3,3,geoscape-global-limited,https://www.buyrentkenya.com/listings/3-bedroom-house-for-rent-runda-3830260,3 Bed House with En Suite in Runda
4 Bed House with En Suite in Runda,"Runda, Westlands","270,000",4,4,geoscape-global-limited,https://www.buyrentkenya.com/listings/4-bedroom-house-for-rent-runda-3830258,4 Bed House with En Suite in Runda
5 Bed Townhouse with En Suite in Lavington,Lavington,"350,000",5,5,geoscape-global-limited,https://www.buyrentkenya.com/listings/5-bedroom-townhouse-for-rent-lavington-3830257,5 Bed Townhouse with En Suite in Lavington
2 Bed Townhouse in Lavington,Lavington,"375,000",2,nan,sovereign-estate-consultants,https://www.buyrentkenya.com/listings/furnished-2-bedroom-townhouse-for-rent-lavington-3830232,2 Bed Townhouse in Lavington
5 Bed House with En Suite in Riverside,"Riverside, Westlands","300,000",5,5,destiny-homes,https://www.buyrentkenya.com/listings/5-bedroom-house-for-rent-riverside-3830137,5 Bed House with En Suite in Riverside
5 Bed Villa with En Suite at Lavington,Lavington,"400,000",5,5,simkar-group-limited,https://www.buyrentkenya.com/listings/5-bedroom-villa-for-rent-lavington-1-3595458,5 Bed Villa with En Suite at Lavington
5 Bed Townhouse with En Suite in Brookside,"Brookside, Westlands","250,000",5,5,geoscape-global-limited,https://www.buyrentkenya.com/listings/5-bedroom-townhouse-for-rent-brookside-3830194,5 Bed Townhouse with En Suite in Brookside
4 Bed House with En Suite in Kitisuru,"Kitisuru, Westlands","555,000",4,4,geoscape-global-limited,https://www.buyrentkenya.com/listings/4-bedroom-house-for-rent-kitisuru-3830193,4 Bed House with En Suite in Kitisuru
4 Bed House with En Suite in Lavington,Lavington,"360,000",4,4,geoscape-global-limited,https://www.buyrentkenya.com/listings/4-bedroom-house-for-rent-lavington-3830185,4 Bed House with En Suite in Lavington
4 Bed House with En Suite in Ruaka,Ruaka,"80,000",4,4,scoreline-consult,https://www.buyrentkenya.com/listings/4-bedroom-house-for-rent-ruaka-3830175,4 Bed House with En Suite in Ruaka
