title,location,price,bedrooms,bathrooms,agency,link,desc
5 Bed House with En Suite at Soraya Drive,"90, Soraya Drive, Runda, Westlands","450,000",5,5,nairobi-royal-homes,https://www.buyrentkenya.com/listings/5-bedroom-house-for-rent-runda-2-3691097,5 Bed House with En Suite at Soraya Drive
4 Bed Townhouse with En Suite at Convent Drive,"90, Convent Drive, Lavington","300,000",4,4,nairobi-royal-homes,https://www.buyrentkenya.com/listings/4-bedroom-townhouse-for-rent-lavington-2-3691095,4 Bed Townhouse with En Suite at Convent Drive
5 Bed Villa with En Suite in Kitisuru,"Kitisuru, Westlands","600,000",5,nan,bright-homes-management,https://www.buyrentkenya.com/listings/5-bedroom-villa-for-rent-kitisuru-3688771,5 Bed Villa with En Suite in Kitisuru
6 Bed House with En Suite in Lavington,Lavington,"675,572",6,6,pam-golding-properties,https://www.buyrentkenya.com/listings/6-bedroom-house-for-rent-lavington-3691037,6 Bed House with En Suite in Lavington
4 Bed Townhouse with En Suite in Nyali Area,"Nyali Area, Nyali","180,000",4,5,arneel-homes,https://www.buyrentkenya.com/listings/4-bedroom-townhouse-for-rent-nyali-area-3688819,4 Bed Townhouse with En Suite in Nyali Area
4 Bed Townhouse with En Suite in Runda,"Runda, Westlands","639,000",4,4,eden-height-realty,https://www.buyrentkenya.com/listings/4-bedroom-townhouse-for-rent-runda-3562655,4 Bed Townhouse with En Suite in Runda
3 Bed Townhouse in Lower Kabete,"Lower Kabete, Westlands","480,000",3,nan,archstone-realtors,https://www.buyrentkenya.com/listings/3-bedroom-townhouse-for-rent-lower-kabete-3669955,3 Bed Townhouse in Lower Kabete
4 Bed Townhouse with En Suite at Manyani East Road,"Manyani East Road, Lavington","250,000",4,3,allione-real-estate,https://www.buyrentkenya.com/listings/4-bedroom-townhouse-for-rent-lavington-3690530,4 Bed Townhouse with En Suite at Manyani East Road
4 Bed House with En Suite in Runda,"Runda, Westlands","430,000",4,5,kiri-homes,https://www.buyrentkenya.com/listings/4-bedroom-house-for-rent-runda-3690492,4 Bed House with En Suite in Runda
5 Bed House with En Suite at Ruaka Road,"77, Ruaka Road, Runda, Westlands","550,000",5,6,nairobi-royal-homes,https://www.buyrentkenya.com/listings/5-bedroom-house-for-rent-runda-2-3689777,5 Bed House with En Suite at Ruaka Road
5 Bed House with En Suite in Runda,"Runda, Westlands","850,000",5,nan,archstone-realtors,https://www.buyrentkenya.com/listings/5-bedroom-house-for-rent-runda-3686339,5 Bed House with En Suite in Runda
1 Bed House with En Suite in Muthaiga,Muthaiga,"195,000",1,nan,archstone-realtors,https://www.buyrentkenya.com/listings/1-bedroom-house-for-rent-muthaiga-3686322,1 Bed House with En Suite in Muthaiga
1 Bed House at Maili Tisa,"Maili Tisa, Namanga","10,000",1,1,blue-falcon-estate-agent,https://www.buyrentkenya.com/listings/1-bedroom-house-for-rent-namanga-3685545,1 Bed House at Maili Tisa
4 Bed Townhouse in Nyali Area,"Nyali Area, Nyali","100,000",4,nan,pam-golding-properties,https://www.buyrentkenya.com/listings/4-bedroom-townhouse-for-rent-nyali-area-3683995,4 Bed Townhouse in Nyali Area
4 Bed Townhouse with Swimming Pool in Thika Road,Thika Road,"200,000",4,nan,pam-golding-properties,https://www.buyrentkenya.com/listings/4-bedroom-townhouse-for-rent-thika-road-3683822,4 Bed Townhouse with Swimming Pool in Thika Road
